id,start_date,end_date,CityMD_14th_St,CityMD_23rd_St,CityMD_37th_St,CityMD_57th_St,CityMD_67th_St,CityMD_86th_St,CityMD_88th_St,CityMD_Astoria,CityMD_Bayridge,CityMD_Boerum_Hill,CityMD_Forest_Hills,CityMD_Lake_Grove,CityMD_Long_Beach,CityMD_Massapequa,CityMD_Merrick,PC_Park_Slope,CityMD_Yonkers,Palisades,PC_Bellmore,PC_Carle_Place,PC_Commack,PC_East_Meadow,PC_Great_Neck,PC_Levittown,PC_Lindenhurst,PC_Lynbrook,PC_Maspeth,PC_Mineola,PC_Syosset
1,2013-12-27,2014-01-02,868.7047676,852.8797182,396.8770785,753.1652867,560.3452001,1121.153675,1004.527156,223.8981452,,204.3897796,,,148.7,,,712.8587906,,706.2171428,763.3141061,309.4036924,402.5070511,267.2545821,347.2375361,836.3655233,647.4503094,818.2634107,466.746711,386.5939325,304.9689552
2,2014-01-03,2014-01-09,874.7721155,855.5915284,402.122097,756.1839507,562.4954408,1123.893449,1009.134732,241.8188915,,219.4334348,,,163.8267619,,,716.4201393,,711.1402703,765.1811279,311.6537697,404.4258841,269.4251368,349.1486932,837.6828347,649.6398028,820.0548943,468.5556262,388.7560322,306.0314395
3,2014-01-10,2014-01-16,880.7579814,858.280821,407.1620781,759.186464,564.6181862,1126.622786,1013.722204,255.3971767,,231.8606111,,,173.378998,,,719.9541473,,716.0141103,767.0340707,313.852307,406.320829,271.4801142,351.0458221,838.9966613,651.8228165,821.8453004,470.3582228,390.8763884,307.0724938
4,2014-01-17,2014-01-23,886.6650569,860.9480356,412.0147141,762.1730613,566.7142302,1129.341789,1018.289837,266.4521958,,242.5350169,,,180.4923195,,,723.4613625,,720.8399655,768.8731786,316.0019501,408.1925805,273.4319517,352.9292015,840.3070268,653.9994103,823.6346328,472.1545688,392.9567963,308.0930337
5,2014-01-24,2014-01-30,892.495894,863.5935985,416.6954136,765.1439719,568.7843314,1132.050562,1022.837889,275.8390968,,251.9425985,,,186.2102099,,,726.9423149,,725.6190835,770.6986888,318.1051378,410.0418021,275.2911449,354.7991009,841.6139547,656.1696431,825.422895,473.944731,394.9989335,309.0939164
6,2014-01-31,2014-02-06,898.252915,866.2179231,421.217685,768.0994196,570.829215,1134.749205,1027.366614,284.0331417,,260.3862675,,,191.0162731,,,730.397518,,730.3526601,772.5108326,320.1641237,411.8691278,277.0666359,356.6557815,842.9174685,658.3335726,827.2100906,475.7287748,397.0043699,310.0759449
7,2014-02-07,2014-02-13,903.9384211,868.8214105,425.5934426,771.0396232,572.8495753,1137.437817,1031.876258,291.3276384,,268.0686946,,45.2048,195.1763892,,,733.8274691,,735.0418418,774.309835,322.1809947,413.6751637,278.7661077,358.4994963,844.217591,660.4912561,828.9962233,477.5067646,398.9745772,311.0398729
8,2014-02-14,2014-02-20,909.5546008,871.4044501,429.8332521,773.9647963,574.8460768,1140.116496,1036.367065,297.9171826,,275.132726,,71.65791025,198.8532095,,,737.23265,,739.6877292,776.095915,324.1576873,415.4604902,280.3962121,360.3304904,845.5143452,662.6427496,830.7812966,479.2787638,400.9109368,311.9864087
9,2014-02-21,2014-02-27,915.1035372,873.9674197,433.9465306,776.8751478,576.8193566,1142.785338,1040.839272,303.9379289,,281.6831465,,93.82167758,202.1538463,,,740.613528,,744.291379,777.8692861,326.0960021,417.2256626,281.9627482,362.1490015,846.8077534,664.7881086,832.5653139,481.0448345,402.8147476,312.9162187
10,2014-02-28,2014-03-06,920.587215,876.5106862,437.9417104,779.7708819,578.7700253,1145.444439,1045.293111,309.489109,,287.7992948,,113.5909483,205.1527621,,,743.9705561,,748.8538064,779.6301562,327.9976161,418.9712135,283.470803,363.9552601,848.0978381,666.9273875,834.3482788,482.8050378,404.687232,313.8299311
11,2014-03-07,2014-03-13,926.0075267,879.0346063,441.8263741,782.652198,580.6986689,1148.09389,1049.72881,314.6454228,,293.5428095,,131.7513171,207.9039186,,,747.3041739,,753.3759877,781.378728,329.8640948,420.6976533,284.924865,365.7494896,849.3846212,669.06064,836.1301948,484.5594336,406.5295423,314.7281382
12,2014-03-14,2014-03-20,931.3662784,881.5395263,445.6073672,785.5192915,582.60585,1150.733785,1054.146592,319.4646011,,298.9626121,,148.7245901,210.4477303,,,750.6148078,,757.8588621,783.115199,331.6969009,422.4054718,286.3289151,367.5319073,850.6681246,671.187919,837.9110654,486.3080811,408.3427659,315.6113996
13,2014-03-21,2014-03-27,936.6651951,884.0257829,449.2908926,788.372353,584.4921089,1153.364213,1058.546675,323.9922439,,304.0982356,,164.7703121,212.8152868,,,753.9028719,,762.3033335,784.8397619,333.4974045,424.0951395,287.686501,369.3027237,851.9483699,673.3092768,839.690894,488.0510382,410.1279303,316.4802443
14,2014-03-28,2014-04-03,941.9059257,886.4937036,452.8825898,791.2115694,586.3579651,1155.985264,1062.929272,328.2650375,178.44,308.9821219,,180.0625151,215.0310413,,,757.1687683,,766.7102727,786.5526045,335.2668899,425.7671082,289.0007986,371.0621434,853.2253784,675.4247645,841.469684,489.788362,411.8860074,317.3351731
