Location,Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CityMD 86th St,08:00:00,0.000,0.567,0.565,0.600,0.564,0.559,0.000
,08:30:00,0.145,0.508,0.479,0.479,0.501,0.475,0.188
,09:00:00,0.835,0.550,0.475,0.483,0.489,0.481,0.905
,09:30:00,0.651,0.530,0.505,0.521,0.472,0.518,0.747
,10:00:00,0.648,0.578,0.485,0.456,0.470,0.455,0.703
,10:30:00,0.684,0.566,0.482,0.501,0.492,0.531,0.739
,11:00:00,0.712,0.626,0.527,0.487,0.437,0.492,0.704
,11:30:00,0.699,0.606,0.482,0.544,0.490,0.519,0.763
,12:00:00,0.692,0.625,0.500,0.530,0.458,0.497,0.770
,12:30:00,0.712,0.594,0.515,0.514,0.462,0.510,0.724
,13:00:00,0.689,0.567,0.488,0.483,0.498,0.480,0.707
,13:30:00,0.658,0.571,0.487,0.479,0.467,0.514,0.651
,14:00:00,0.659,0.527,0.470,0.482,0.413,0.490,0.728
,14:30:00,0.611,0.529,0.464,0.508,0.475,0.577,0.624
,15:00:00,0.607,0.554,0.502,0.475,0.457,0.475,0.620
,15:30:00,0.589,0.651,0.541,0.510,0.515,0.561,0.650
,16:00:00,0.549,0.630,0.584,0.567,0.521,0.555,0.572
,16:30:00,0.547,0.620,0.594,0.535,0.539,0.591,0.548
,17:00:00,0.499,0.699,0.595,0.619,0.540,0.622,0.516
,17:30:00,0.423,0.739,0.714,0.672,0.645,0.604,0.438
,18:00:00,0.375,0.769,0.733,0.699,0.662,0.605,0.402
,18:30:00,0.426,0.754,0.745,0.732,0.616,0.557,0.381
,19:00:00,0.357,0.716,0.619,0.639,0.603,0.496,0.356
,19:30:00,0.333,0.568,0.578,0.536,0.454,0.414,0.360
,20:00:00,0.310,0.465,0.489,0.472,0.421,0.390,0.337
,20:30:00,0.208,0.376,0.395,0.380,0.330,0.309,0.256
,21:00:00,0.017,0.276,0.339,0.268,0.257,0.272,0.023
,21:30:00,0.001,0.210,0.189,0.179,0.144,0.145,0.005
