Location,Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CityMD 88th St,08:00:00,0.002,0.557,0.530,0.520,0.524,0.554,0.000
,08:30:00,0.159,0.604,0.429,0.498,0.472,0.517,0.161
,09:00:00,0.917,0.564,0.477,0.519,0.470,0.559,0.889
,09:30:00,0.721,0.549,0.466,0.500,0.492,0.485,0.760
,10:00:00,0.651,0.600,0.520,0.505,0.537,0.507,0.709
,10:30:00,0.777,0.604,0.552,0.517,0.502,0.509,0.811
,11:00:00,0.754,0.623,0.515,0.487,0.481,0.548,0.768
,11:30:00,0.695,0.628,0.451,0.494,0.513,0.578,0.741
,12:00:00,0.867,0.594,0.477,0.464,0.468,0.481,0.696
,12:30:00,0.769,0.524,0.472,0.449,0.524,0.526,0.717
,13:00:00,0.717,0.524,0.457,0.500,0.489,0.591,0.695
,13:30:00,0.648,0.568,0.539,0.474,0.378,0.504,0.724
,14:00:00,0.719,0.564,0.487,0.541,0.464,0.530,0.730
,14:30:00,0.646,0.511,0.444,0.509,0.459,0.492,0.552
,15:00:00,0.569,0.628,0.457,0.485,0.449,0.626,0.565
,15:30:00,0.618,0.579,0.548,0.515,0.483,0.611,0.659
,16:00:00,0.524,0.602,0.519,0.636,0.530,0.557,0.565
,16:30:00,0.535,0.630,0.520,0.558,0.513,0.546,0.511
,17:00:00,0.513,0.634,0.558,0.556,0.588,0.579,0.578
,17:30:00,0.498,0.676,0.640,0.650,0.545,0.618,0.487
,18:00:00,0.442,0.640,0.678,0.631,0.627,0.568,0.436
,18:30:00,0.470,0.695,0.599,0.618,0.545,0.522,0.384
,19:00:00,0.438,0.591,0.526,0.515,0.526,0.424,0.352
,19:30:00,0.363,0.568,0.455,0.477,0.459,0.426,0.431
,20:00:00,0.354,0.511,0.434,0.449,0.382,0.350,0.389
,20:30:00,0.251,0.375,0.346,0.416,0.371,0.374,0.283
,21:00:00,0.026,0.369,0.344,0.309,0.333,0.244,0.034
,21:30:00,0.002,0.191,0.217,0.225,0.193,0.206,0.002
