Location,Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CityMD 67th St,08:00:00,0.000,0.690,0.764,0.556,0.536,0.685,0.000
,08:30:00,0.196,0.509,0.496,0.576,0.503,0.555,0.215
,09:00:00,0.874,0.503,0.489,0.496,0.583,0.548,0.913
,09:30:00,0.744,0.556,0.543,0.503,0.516,0.431,0.763
,10:00:00,0.555,0.603,0.523,0.603,0.610,0.548,0.829
,10:30:00,0.639,0.529,0.516,0.630,0.523,0.522,0.672
,11:00:00,0.665,0.643,0.549,0.583,0.442,0.568,0.763
,11:30:00,0.659,0.637,0.496,0.469,0.543,0.385,0.868
,12:00:00,0.776,0.791,0.677,0.583,0.482,0.620,0.770
,12:30:00,0.665,0.543,0.462,0.603,0.375,0.522,0.652
,13:00:00,0.607,0.637,0.503,0.623,0.543,0.502,0.587
,13:30:00,0.705,0.536,0.489,0.489,0.576,0.391,0.620
,14:00:00,0.607,0.529,0.442,0.509,0.516,0.542,0.679
,14:30:00,0.613,0.516,0.436,0.516,0.516,0.496,0.633
,15:00:00,0.581,0.549,0.489,0.496,0.402,0.515,0.600
,15:30:00,0.522,0.563,0.536,0.436,0.596,0.633,0.659
,16:00:00,0.594,0.549,0.489,0.549,0.576,0.561,0.555
,16:30:00,0.509,0.536,0.536,0.603,0.543,0.613,0.587
,17:00:00,0.431,0.817,0.690,0.797,0.509,0.561,0.457
,17:30:00,0.372,0.697,0.764,0.771,0.643,0.679,0.365
,18:00:00,0.391,0.824,0.637,0.697,0.623,0.581,0.496
,18:30:00,0.359,0.616,0.670,0.549,0.596,0.620,0.502
,19:00:00,0.326,0.603,0.637,0.616,0.583,0.352,0.391
,19:30:00,0.352,0.476,0.449,0.456,0.395,0.372,0.320
,20:00:00,0.235,0.389,0.362,0.415,0.362,0.385,0.287
,20:30:00,0.241,0.322,0.315,0.369,0.281,0.241,0.222
,21:00:00,0.007,0.261,0.369,0.201,0.248,0.157,0.065
,21:30:00,0.000,0.107,0.168,0.134,0.134,0.111,0.000
