Start Date,End Date,CityMD_14th_St,CityMD_23rd_St,CityMD_37th_St,CityMD_57th_St,CityMD_67th_St,CityMD_86th_St,CityMD_88th_St
2013-12-27,2014-01-02,970.68514,953.8926026,443.4679041,844.0238296,638.5960255,1326.872641,1132.875068
2014-01-03,2014-01-09,997.9946194,977.1592579,458.7659826,865.2314504,654.7018242,1358.518225,1162.186058
2014-01-10,2014-01-16,909.4544998,887.3173845,420.4280766,786.2450544,594.970353,1232.986132,1056.85431
2014-01-17,2014-01-23,836.5573357,813.3872218,388.7307037,721.2543889,545.8069738,1129.702486,970.1911404
2014-01-24,2014-01-30,818.0668154,792.7474583,381.9453874,703.4582003,532.3408854,1100.518454,946.9272341
2014-01-31,2014-02-06,820.6189148,792.6310399,384.812778,703.8609812,532.6324624,1099.859533,948.1401547
2014-02-07,2014-02-13,817.6518119,787.2610212,384.967871,699.5953931,529.3778477,1091.93372,943.0567315
2014-02-14,2014-02-20,878.0618623,842.8144615,414.9505543,749.5014698,567.0988861,1168.499041,1011.035754
2014-02-21,2014-02-27,888.5033092,850.2696046,421.3325736,756.6749716,572.4704353,1178.363111,1021.4203
2014-02-28,2014-03-06,894.4529467,853.4511104,425.5091174,760.0521683,574.9563417,1182.317913,1026.685856
2014-03-07,2014-03-13,918.0128629,873.4236071,438.0118767,778.3976319,588.7508966,1209.540772,1052.186532
2014-03-14,2014-03-20,914.682207,867.8238977,437.6249598,773.9622006,585.3015862,1201.361708,1046.902073
2014-03-21,2014-03-27,920.0466094,870.533381,441.3194432,776.9352682,587.4438121,1204.704791,1051.633148
2014-03-28,2014-04-03,950.437085,896.8939213,456.9845,801.0348393,605.5451176,1240.782237,1084.980734
2014-04-04,2014-04-10,923.5789304,869.2819132,445.0579698,776.9293044,587.1953831,1202.210398,1053.03161
2014-04-11,2014-04-17,939.3393409,881.8685566,453.5912308,788.7417545,595.9842194,1219.256112,1069.749614
2014-04-18,2014-04-24,890.3419604,833.7920438,430.7632123,746.2741231,563.7547458,1152.459861,1012.817576
2014-04-25,2014-05-01,944.295246,882.1698178,457.692423,790.1362871,596.7317552,1218.997469,1073.046536
2014-05-02,2014-05-08,903.681394,842.2214161,438.7468294,754.8918789,569.9554654,1163.495883,1025.848412
2014-05-09,2014-05-15,938.7850201,872.9027823,456.5094642,782.9471845,590.9648627,1205.584548,1064.660148
2014-05-16,2014-05-22,977.8537149,907.1599309,476.2095568,814.2504238,614.4046253,1252.604585,1107.936441
2014-05-23,2014-05-29,973.0014356,900.6465785,474.5007777,808.9757184,610.230322,1243.334146,1101.460461
2014-05-30,2014-06-05,1035.524212,956.4276748,505.6434336,859.6853895,648.2677642,1320.060246,1171.245171
2014-06-06,2014-06-12,982.6421675,905.6440779,480.4012903,814.6117123,614.0689189,1249.718044,1110.534488
2014-06-13,2014-06-19,1023.854073,941.6492707,501.1154741,847.5928735,638.7053788,1299.15544,1156.219104
2014-06-20,2014-06-26,1019.942788,936.1252172,499.7295443,843.21128,635.1728601,1291.301924,1150.956809
2014-06-27,2014-07-03,933.7340897,855.2751309,457.9439784,770.9246771,580.504194,1179.57606,1052.937738
2014-07-04,2014-07-10,991.8834877,906.7440195,486.9137155,817.8877911,615.6315409,1250.360605,1117.766176
2014-07-11,2014-07-17,1008.625235,920.2623531,495.5612721,830.6591804,624.9996111,1268.810685,1135.912793
2014-07-18,2014-07-24,951.8242962,866.7867466,468.032519,782.9335688,588.8541339,1194.912288,1071.298077
2014-07-25,2014-07-31,1023.752537,930.5495166,503.7823205,841.1100362,632.3505915,1282.642854,1151.595454
2014-08-01,2014-08-07,994.4830831,902.2893231,489.7250682,816.12944,613.3141485,1243.536014,1118.06314
2014-08-08,2014-08-14,955.120939,865.0180222,470.6519523,782.956244,588.1348786,1192.031399,1073.256178
2014-08-15,2014-08-21,991.688622,896.549987,488.9721305,812.0544575,609.7291093,1235.351771,1113.802423
2014-08-22,2014-08-28,958.8192867,865.3303389,473.0364506,784.3141962,588.6418694,1192.216613,1076.387569
2014-08-29,2014-09-04,1021.943486,920.7277756,504.4482158,835.0953566,626.4747117,1268.425633,1146.750063
2014-09-05,2014-09-11,1047.707225,942.35887,517.422423,855.2970933,641.3396743,1298.117332,1175.174436
2014-09-12,2014-09-18,1080.767406,970.4945428,533.9956838,881.4319367,660.6339436,1336.773519,1211.784248
2014-09-19,2014-09-25,1102.186322,988.1262917,544.811354,898.0536966,672.779691,1360.966605,1235.345871
2014-09-26,2014-10-02,1098.803814,983.5262149,543.3542942,894.4768443,669.7854759,1354.547751,1231.129351
2014-10-03,2014-10-09,1120.023409,1000.950648,554.0497501,910.9368692,681.7869068,1378.470323,1254.49743
2014-10-10,2014-10-16,1138.579168,1015.967249,563.4186162,925.2240444,692.1478003,1399.083953,1274.893561
2014-10-17,2014-10-23,1168.268625,1040.880619,578.2893259,948.5469687,709.2514487,1433.33321,1307.76588
2014-10-24,2014-10-30,1056.748217,940.1172046,523.2356078,857.2939506,640.7057298,1294.533244,1182.615874
2014-10-31,2014-11-06,1145.545715,1017.619509,567.3497344,928.5860237,693.6438507,1401.213526,1281.67385
2014-11-07,2014-11-13,1146.538726,1017.031104,567.9756337,928.6648943,693.3574004,1400.372187,1282.491551
2014-11-14,2014-11-20,1084.023825,960.2107571,537.1217339,877.3614477,654.7246135,1322.113514,1212.307568
2014-11-21,2014-11-27,1116.841137,987.895141,553.4890897,903.2524012,673.7047144,1360.217917,1248.76545
2014-11-28,2014-12-04,1177.614509,1040.216014,583.7082807,951.7156525,709.4902631,1432.250914,1316.482686
2014-12-05,2014-12-11,1160.183476,1023.427314,575.1566177,936.9689185,698.1386448,1409.136012,1296.785175
2014-12-12,2014-12-18,1220.374706,1075.083609,605.0781464,984.9042857,733.4767647,1480.269659,1363.862312
2014-12-19,2014-12-25,1054.907821,928.091569,523.0992076,850.795764,633.2746948,1277.892741,1178.783963
2014-12-26,2015-01-01,1249.423921,1097.796272,619.6171809,1007.019884,749.1659882,1511.584896,1395.976497
