Location,Hour,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
CityMD 14th St,08:00:00,0.000%,0.571%,0.444%,0.444%,0.462%,0.390%,0.000%
,08:30:00,0.137%,0.435%,0.535%,0.444%,0.508%,0.426%,0.082%
,09:00:00,0.471%,0.580%,0.444%,0.426%,0.426%,0.589%,0.544%
,09:30:00,0.579%,0.589%,0.535%,0.353%,0.508%,0.562%,0.526%
,10:00:00,0.628%,0.598%,0.435%,0.517%,0.544%,0.508%,0.562%
,10:30:00,0.550%,0.571%,0.489%,0.498%,0.426%,0.535%,0.607%
,11:00:00,0.687%,0.671%,0.471%,0.508%,0.553%,0.508%,0.734%
,11:30:00,0.677%,0.725%,0.653%,0.498%,0.471%,0.526%,0.707%
,12:00:00,0.677%,0.680%,0.716%,0.634%,0.689%,0.535%,0.625%
,12:30:00,0.609%,0.725%,0.634%,0.435%,0.553%,0.571%,0.689%
,13:00:00,0.619%,0.779%,0.689%,0.616%,0.653%,0.580%,0.698%
,13:30:00,0.736%,0.634%,0.480%,0.544%,0.553%,0.535%,0.843%
,14:00:00,0.658%,0.580%,0.589%,0.417%,0.562%,0.544%,0.625%
,14:30:00,0.609%,0.580%,0.544%,0.598%,0.580%,0.480%,0.798%
,15:00:00,0.658%,0.725%,0.789%,0.462%,0.435%,0.616%,0.671%
,15:30:00,0.668%,0.644%,0.625%,0.598%,0.535%,0.607%,0.616%
,16:00:00,0.452%,0.616%,0.671%,0.680%,0.607%,0.680%,0.680%
,16:30:00,0.520%,0.743%,0.535%,0.489%,0.625%,0.535%,0.598%
,17:00:00,0.461%,0.644%,0.707%,0.571%,0.707%,0.517%,0.607%
,17:30:00,0.511%,0.807%,0.589%,0.734%,0.734%,0.725%,0.526%
,18:00:00,0.422%,0.761%,0.816%,0.634%,0.671%,0.734%,0.462%
,18:30:00,0.383%,0.752%,0.616%,0.734%,0.535%,0.489%,0.308%
,19:00:00,0.295%,0.580%,0.517%,0.535%,0.444%,0.381%,0.317%
,19:30:00,0.334%,0.553%,0.390%,0.390%,0.399%,0.344%,0.317%
,20:00:00,0.196%,0.326%,0.326%,0.326%,0.317%,0.344%,0.308%
,20:30:00,0.216%,0.408%,0.199%,0.417%,0.254%,0.281%,0.290%
,21:00:00,0.010%,0.227%,0.245%,0.190%,0.290%,0.254%,0.036%
,21:30:00,0.000%,0.136%,0.172%,0.190%,0.127%,0.100%,0.018%
